iter	Passed	Remaining
462	785	910
463	786	908
464	787	906
465	788	904
466	790	901
467	792	901
468	793	898
469	795	896
470	796	894
471	797	892
472	798	890
473	800	888
474	801	886
475	803	884
476	804	882
477	807	881
478	810	881
479	811	879
480	812	876
481	813	874
482	814	872
483	816	870
484	817	867
485	818	865
486	819	863
487	820	860
488	823	860
489	824	857
490	825	855
491	826	853
492	827	851
493	829	849
494	830	847
495	831	844
496	832	842
497	833	840
498	834	837
499	835	835
500	837	834
501	838	832
502	839	829
503	840	827
504	841	825
505	842	822
506	843	820
507	844	818
508	846	816
509	846	813
510	847	811
511	849	809
512	851	808
513	852	806
514	853	804
515	854	801
516	855	799
517	857	797
518	858	795
519	859	793
520	860	791
521	861	789
522	862	786
523	863	784
524	866	784
525	867	782
526	869	780
527	870	777
528	871	775
529	872	773
530	873	771
531	874	769
532	875	767
533	877	765
534	878	763
535	880	762
536	881	760
537	882	758
538	883	755
539	885	754
540	886	752
541	887	750
542	888	748
543	890	746
544	891	743
545	892	741
546	893	739
547	895	738
548	896	736
549	897	734
550	898	732
551	899	730
552	900	728
553	901	726
554	902	723
555	903	721
556	904	719
557	905	717
558	906	715
559	907	713
560	910	712
561	911	710
562	913	708
563	914	706
564	915	704
565	916	702
566	917	700
567	918	698
568	919	696
569	920	694
570	921	692
571	922	689
572	924	688
573	925	686
574	927	685
575	929	684
576	930	682
577	931	680
578	933	678
579	934	676
580	935	674
581	936	672
582	937	670
583	940	670
584	941	668
585	943	666
586	944	664
587	945	662
588	946	660
589	947	658
590	948	656
591	949	654
592	950	652
593	951	650
594	954	649
595	955	647
596	956	645
597	957	643
598	958	641
599	959	639
600	960	637
601	961	635
602	962	633
603	963	631
604	964	629
605	965	627
606	966	625
607	968	624
608	969	622
609	970	620
610	971	618
611	972	616
612	973	614
613	975	612
614	976	611
615	977	609
616	978	607
617	979	605
618	980	603
619	981	601
620	984	600
621	985	598
622	986	596
623	987	594
624	988	592
625	989	591
626	990	589
627	991	587
628	992	585
629	993	583
630	994	581
631	995	579
632	996	577
633	998	576
634	999	574
635	1000	572
636	1001	570
637	1002	568
638	1003	567
639	1004	565
640	1005	563
641	1006	561
642	1007	559
643	1008	557
644	1009	555
645	1010	553
646	1013	552
647	1014	550
648	1015	549
649	1016	547
650	1017	545
651	1018	543
652	1019	541
653	1021	540
654	1022	538
655	1023	536
656	1024	534
657	1025	532
658	1028	532
659	1030	530
660	1031	529
661	1033	527
662	1034	525
663	1035	524
664	1037	522
665	1038	520
666	1040	519
667	1043	518
668	1044	516
669	1045	515
670	1046	513
671	1048	511
672	1049	509
673	1050	507
674	1051	506
675	1052	504
676	1053	502
677	1054	500
678	1055	498
679	1055	496
680	1056	495
681	1057	493
682	1058	491
683	1060	489
684	1061	487
685	1062	486
686	1063	484
687	1063	482
688	1064	480
689	1065	478
690	1066	476
691	1067	475
692	1069	473
693	1070	471
694	1070	469
695	1071	468
696	1074	466
697	1075	465
698	1076	463
699	1077	461
700	1078	459
701	1079	458
702	1080	456
703	1081	454
704	1082	452
705	1083	451
706	1084	449
707	1085	447
708	1086	445
709	1087	444
710	1088	442
711	1089	440
712	1090	439
713	1091	437
